community_detector,used_communities,community,algorithm_rec,test_size,split_id,train_runtime,test_runtime
Louvain,3.0,0.0,Co-Clustering,0.25,1,0.02138376235961914,0.0019996166229248047
Louvain,3.0,99.0,Co-Clustering,0.25,1,0.0380556583404541,0.003998756408691406
Louvain,4.0,1.0,Co-Clustering,0.25,1,0.018001794815063477,0.0009999275207519531
Louvain,4.0,3.0,Co-Clustering,0.25,1,0.01850295066833496,0.0019998550415039062
Louvain,4.0,0.0,Co-Clustering,0.25,1,0.019225358963012695,0.002000093460083008
Louvain,4.0,2.0,Co-Clustering,0.25,1,0.02070021629333496,0.002000093460083008
Louvain,1.0,1.0,SlopeOne,0.25,1,0.0,0.002005338668823242
Louvain,1.0,99.0,SlopeOne,0.25,1,0.0037338733673095703,0.004002809524536133
Louvain,2.0,1.0,SlopeOne,0.25,1,0.0009999275207519531,0.0
Louvain,2.0,3.0,SlopeOne,0.25,1,0.0,0.0010004043579101562
Louvain,2.0,99.0,SlopeOne,0.25,1,0.002000093460083008,0.003000020980834961
Louvain,3.0,1.0,SlopeOne,0.25,1,0.0,0.0010001659393310547
Louvain,3.0,3.0,SlopeOne,0.25,1,0.0,0.0009999275207519531
Louvain,3.0,0.0,SlopeOne,0.25,1,0.0009999275207519531,0.0009999275207519531
Louvain,3.0,99.0,SlopeOne,0.25,1,0.002468585968017578,0.004002571105957031
Louvain,4.0,1.0,SlopeOne,0.25,1,0.0010001659393310547,0.00099945068359375
Louvain,4.0,3.0,SlopeOne,0.25,1,0.0010573863983154297,0.0019102096557617188
Louvain,4.0,0.0,SlopeOne,0.25,1,0.002000093460083008,0.002000093460083008
Louvain,4.0,2.0,SlopeOne,0.25,1,0.001567840576171875,0.0022783279418945312
Paris,1.0,13.0,NormalPredictor,0.25,1,0.0,0.0
Paris,1.0,99.0,NormalPredictor,0.25,1,0.003999471664428711,0.00797724723815918
Paris,2.0,13.0,NormalPredictor,0.25,1,0.002002239227294922,0.0
Paris,2.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,2.0,99.0,NormalPredictor,0.25,1,0.00500035285949707,0.009409189224243164
Paris,3.0,13.0,NormalPredictor,0.25,1,0.0010006427764892578,0.0
Paris,3.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,3.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,3.0,99.0,NormalPredictor,0.25,1,0.004004716873168945,0.00500035285949707
Paris,4.0,13.0,NormalPredictor,0.25,1,0.0010035037994384766,0.0
Paris,4.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,4.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,4.0,16.0,NormalPredictor,0.25,1,0.0,0.0010030269622802734
Paris,4.0,99.0,NormalPredictor,0.25,1,0.003999948501586914,0.009011030197143555
Paris,5.0,13.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,5.0,14.0,NormalPredictor,0.25,1,0.0,0.0010025501251220703
Paris,5.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,5.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,5.0,17.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,5.0,99.0,NormalPredictor,0.25,1,0.0046656131744384766,0.008210897445678711
Paris,6.0,13.0,NormalPredictor,0.25,1,0.00099945068359375,0.0
Paris,6.0,14.0,NormalPredictor,0.25,1,0.0,0.0010099411010742188
Paris,6.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,6.0,16.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,6.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,6.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,6.0,99.0,NormalPredictor,0.25,1,0.0039997100830078125,0.008145332336425781
Paris,7.0,13.0,NormalPredictor,0.25,1,0.0009996891021728516,0.0
Paris,7.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,7.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,7.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,7.0,17.0,NormalPredictor,0.25,1,0.0010001659393310547,0.0
Paris,7.0,18.0,NormalPredictor,0.25,1,0.0010020732879638672,0.0
Paris,7.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,7.0,99.0,NormalPredictor,0.25,1,0.004999637603759766,0.009175300598144531
Paris,8.0,13.0,NormalPredictor,0.25,1,0.0,0.0
Paris,8.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,8.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,8.0,16.0,NormalPredictor,0.25,1,0.0,0.0010006427764892578
Paris,8.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,8.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,8.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,8.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,8.0,99.0,NormalPredictor,0.25,1,0.002001047134399414,0.0059375762939453125
Paris,9.0,13.0,NormalPredictor,0.25,1,0.0,0.0
Paris,9.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,9.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,9.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,9.0,17.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,9.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,9.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,9.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,9.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,9.0,99.0,NormalPredictor,0.25,1,0.0030024051666259766,0.005000114440917969
Paris,10.0,13.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,10.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,10.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,10.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,10.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,10.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,10.0,19.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,10.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,10.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,10.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,10.0,99.0,NormalPredictor,0.25,1,0.00400090217590332,0.007997989654541016
Paris,11.0,13.0,NormalPredictor,0.25,1,0.00099945068359375,0.0
Paris,11.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,11.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,11.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,11.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,11.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,11.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,11.0,20.0,NormalPredictor,0.25,1,0.0010023117065429688,0.0
Paris,11.0,21.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,11.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,11.0,23.0,NormalPredictor,0.25,1,0.0,0.0
Paris,11.0,99.0,NormalPredictor,0.25,1,0.0025370121002197266,0.005506038665771484
Paris,12.0,13.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,12.0,14.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,12.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,12.0,16.0,NormalPredictor,0.25,1,0.0,0.0010020732879638672
Paris,12.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,12.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,12.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,12.0,20.0,NormalPredictor,0.25,1,0.0,0.0009970664978027344
Paris,12.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,12.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,12.0,23.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,12.0,24.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,12.0,99.0,NormalPredictor,0.25,1,0.0023305416107177734,0.0059969425201416016
Paris,13.0,13.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,13.0,14.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,13.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,19.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,13.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,23.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,24.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,25.0,NormalPredictor,0.25,1,0.0,0.0
Paris,13.0,99.0,NormalPredictor,0.25,1,0.0030014514923095703,0.00500035285949707
Paris,14.0,13.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,16.0,NormalPredictor,0.25,1,0.0,0.00099945068359375
Paris,14.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,21.0,NormalPredictor,0.25,1,0.0,0.0014941692352294922
Paris,14.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,23.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,24.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,25.0,NormalPredictor,0.25,1,0.0012645721435546875,0.0
Paris,14.0,26.0,NormalPredictor,0.25,1,0.0,0.0
Paris,14.0,99.0,NormalPredictor,0.25,1,0.00424647331237793,0.007550954818725586
Paris,15.0,13.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,15.0,NormalPredictor,0.25,1,0.0010004043579101562,0.0
Paris,15.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,18.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,15.0,19.0,NormalPredictor,0.25,1,0.0,0.0010144710540771484
Paris,15.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,21.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,15.0,22.0,NormalPredictor,0.25,1,0.0,0.0009996891021728516
Paris,15.0,23.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,24.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,25.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,26.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,27.0,NormalPredictor,0.25,1,0.0,0.0
Paris,15.0,99.0,NormalPredictor,0.25,1,0.003006458282470703,0.0050013065338134766
Paris,16.0,13.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,14.0,NormalPredictor,0.25,1,0.0,0.0009191036224365234
Paris,16.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,16.0,NormalPredictor,0.25,1,0.0009992122650146484,0.0
Paris,16.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,18.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,20.0,NormalPredictor,0.25,1,0.0010221004486083984,0.0
Paris,16.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,22.0,NormalPredictor,0.25,1,0.0,0.0009996891021728516
Paris,16.0,23.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,16.0,24.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,25.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,26.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,27.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,28.0,NormalPredictor,0.25,1,0.0,0.0
Paris,16.0,99.0,NormalPredictor,0.25,1,0.0040130615234375,0.004999637603759766
Paris,17.0,13.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,17.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,16.0,NormalPredictor,0.25,1,0.0009982585906982422,0.0
Paris,17.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,18.0,NormalPredictor,0.25,1,0.0,0.0009992122650146484
Paris,17.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,23.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,24.0,NormalPredictor,0.25,1,0.0,0.00034999847412109375
Paris,17.0,25.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,26.0,NormalPredictor,0.25,1,0.0,0.0
Paris,17.0,27.0,NormalPredictor,0.25,1,0.0,0.0009937286376953125
Paris,17.0,28.0,NormalPredictor,0.25,1,0.0,0.0009996891021728516
Paris,17.0,29.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,17.0,99.0,NormalPredictor,0.25,1,0.0050013065338134766,0.008632183074951172
Paris,18.0,13.0,NormalPredictor,0.25,1,0.0,0.0010001659393310547
Paris,18.0,14.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,16.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,18.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,18.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,18.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,20.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,21.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,22.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,23.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,18.0,24.0,NormalPredictor,0.25,1,0.0,0.0009999275207519531
Paris,18.0,25.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,26.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,27.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,28.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,29.0,NormalPredictor,0.25,1,0.0,0.0
Paris,18.0,30.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,18.0,99.0,NormalPredictor,0.25,1,0.002000093460083008,0.006000041961669922
Paris,19.0,13.0,NormalPredictor,0.25,1,0.0006909370422363281,0.0
Paris,19.0,14.0,NormalPredictor,0.25,1,0.0,0.0010008811950683594
Paris,19.0,15.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,16.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,17.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,18.0,NormalPredictor,0.25,1,0.0009999275207519531,0.0
Paris,19.0,19.0,NormalPredictor,0.25,1,0.0,0.0
Paris,19.0,20.0,NormalPredictor,0.25,1,0.0,0.0
