community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Louvain,2.0,NMF,0.25,2,1.5172485468459167,2.302043152906046,1.2317682225689761
Louvain,3.0,NMF,0.25,2,1.5037329266632729,2.261212714731292,1.220184382824666
Louvain,4.0,NMF,0.25,2,1.4973947828603544,2.242191135737408,1.2144886492876827
Louvain,1.0,Co-Clustering,0.25,2,1.5145998390511075,2.2940126724536407,1.2305166382067043
Louvain,2.0,Co-Clustering,0.25,2,1.5036220651024559,2.260879314662974,1.2204317901928554
Louvain,3.0,Co-Clustering,0.25,2,1.4876616503930706,2.2131371860502345,1.2059013041551703
Louvain,4.0,Co-Clustering,0.25,2,1.4782954007771643,2.185357291958917,1.1973658493495725
Louvain,1.0,SlopeOne,0.25,2,1.488986168314893,2.217079809433067,1.2097231991486908
Louvain,2.0,SlopeOne,0.25,2,1.4775168174323048,2.1830559457952865,1.1996685333791153
Louvain,3.0,SlopeOne,0.25,2,1.461151325349802,2.1349631955714834,1.1850971502178245
Louvain,4.0,SlopeOne,0.25,2,1.4523463870603992,2.109310028007395,1.1776111449087652
Paris,1.0,NormalPredictor,0.25,2,1.5158171230518322,2.2977015505371337,1.2189284460315215
Paris,2.0,NormalPredictor,0.25,2,1.5209125032510342,2.313174842545327,1.2227259455611719
Paris,1.0,SVD,0.25,2,1.2289047639217692,1.5102069187896192,1.0051803307495213
Paris,2.0,SVD,0.25,2,1.2294143852701256,1.5114597307091207,1.0057446707035862
Paris,1.0,k-NN,0.25,2,1.5208960741709556,2.313124868428625,1.2289587679429266
Paris,2.0,k-NN,0.25,2,1.5208960741709556,2.313124868428625,1.2289587679429266
Paris,1.0,NMF,0.25,2,1.5412451307791124,2.3754365531503234,1.254216791020731
Paris,2.0,NMF,0.25,2,1.5469936930212282,2.393189486247458,1.257525650033747
Paris,1.0,Co-Clustering,0.25,2,1.5263726749929372,2.3298135429650944,1.2381159811057216
Paris,2.0,Co-Clustering,0.25,2,1.527455233155914,2.3331194892953873,1.2388713347371774
Paris,1.0,SlopeOne,0.25,2,1.4879055170802655,2.2138628277578922,1.2091771959578006
Paris,2.0,SlopeOne,0.25,2,1.4879055170802655,2.2138628277578922,1.2091771959578006
Not-Applicable,,NormalPredictor,0.25,3,1.5227289333279501,2.3187034043940766,1.2221517309587169
Not-Applicable,,SVD,0.25,3,0.9454384467858868,0.8938538566609101,0.7427845827090078
Not-Applicable,,k-NN,0.25,3,0.9845195195119474,0.9692786843000358,0.7752792993103145
Not-Applicable,,NMF,0.25,3,0.9733135144422652,0.9473391973959535,0.7616385059172628
Not-Applicable,,Co-Clustering,0.25,3,0.97424522961968,0.9491537674367029,0.7604639250666568
Not-Applicable,,SlopeOne,0.25,3,0.9537264234376326,0.9095940907631384,0.7467042130430956
Louvain,1.0,NormalPredictor,0.25,3,1.5198245129500845,2.3098665501639615,1.2214752596885463
Louvain,2.0,NormalPredictor,0.25,3,1.521186964551675,2.3140097811219387,1.2224349533257939
Louvain,3.0,NormalPredictor,0.25,3,1.5224656071700287,2.3179015250156043,1.22295561163725
