dataset,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
synthetic,Louvain,k-NN,0.25,5,1.0444059980250466,1.0907838887106938,0.8667529445917146
synthetic,Louvain,NMF,0.25,5,1.0733619706766175,1.1521059200947918,0.8856017961907154
synthetic,Louvain,Co-Clustering,0.25,5,1.0663995758015665,1.1372080552697612,0.8735235511255391
synthetic,Louvain,SlopeOne,0.25,5,1.084780500820596,1.1767487349605832,0.8900751064017883
synthetic,Paris,NormalPredictor,0.25,5,1.6199647541261086,2.6242858046108632,1.3031361632691536
synthetic,Paris,SVD,0.25,5,1.0752315020872845,1.1561227830808778,0.8717666091780474
synthetic,Paris,k-NN,0.25,5,1.0510158780031962,1.1046343758148292,0.8721052072033901
synthetic,Paris,NMF,0.25,5,1.1202209348095151,1.254894942785504,0.9184194673370814
synthetic,Paris,Co-Clustering,0.25,5,1.1248816872998002,1.2653588104224456,0.9171932705422379
synthetic,Paris,SlopeOne,0.25,5,1.0805460546997019,1.1675797763270912,0.8842626156764481
synthetic,Not-Applicable,NormalPredictor,0.1,1,1.5959078045262247,2.5469217205477146,1.3136158856930416
synthetic,Not-Applicable,SVD,0.1,1,1.1466698443145837,1.3148517318604318,0.9398029775646041
synthetic,Not-Applicable,k-NN,0.1,1,1.1323006448490822,1.2821047503256473,0.9337079152363343
synthetic,Not-Applicable,NMF,0.1,1,1.036783388628662,1.074919794936331,0.8619723051676612
synthetic,Not-Applicable,Co-Clustering,0.1,1,1.1423266608880176,1.3049102001755681,0.9366742303843115
synthetic,Not-Applicable,SlopeOne,0.1,1,1.2143605788293952,1.4746716154148636,0.9966862111199176
synthetic,Louvain,NormalPredictor,0.1,1,1.7360911443677898,3.014012461552262,1.4183977931124456
synthetic,Louvain,SVD,0.1,1,1.1084428080841704,1.228645458793521,0.9066966312475717
synthetic,Louvain,k-NN,0.1,1,1.0653153134843147,1.134896717144184,0.8625211497746897
synthetic,Louvain,NMF,0.1,1,1.0747558751880475,1.155100191251226,0.867914895901896
synthetic,Louvain,Co-Clustering,0.1,1,1.0976763111830758,1.2048932841324849,0.8862966469771862
synthetic,Louvain,SlopeOne,0.1,1,1.0910063536782837,1.1902948637663844,0.8829662336974601
synthetic,Paris,NormalPredictor,0.1,1,1.6506109970259206,2.7245166635029037,1.3224143023693398
synthetic,Paris,SVD,0.1,1,1.0634637877571462,1.1309552278707766,0.870800333942662
synthetic,Paris,k-NN,0.1,1,0.997923355419592,0.9958510232918973,0.8132190324742712
synthetic,Paris,NMF,0.1,1,1.0610176643906668,1.1257584841490256,0.8537323895642979
synthetic,Paris,Co-Clustering,0.1,1,1.0567334467554306,1.1166855774916125,0.8546629561216614
synthetic,Paris,SlopeOne,0.1,1,1.0343970260786508,1.0699772075603569,0.8324020273555082
synthetic,Not-Applicable,NormalPredictor,0.1,2,1.7116651085664547,2.9297974438838135,1.3857427930137818
synthetic,Not-Applicable,SVD,0.1,2,1.1300481295704738,1.2770087751457264,0.916056287123519
synthetic,Not-Applicable,k-NN,0.1,2,1.1163748192395742,1.2462927370321917,0.9093321264654549
synthetic,Not-Applicable,NMF,0.1,2,1.0180478670688375,1.0364214596434094,0.8388091343739751
synthetic,Not-Applicable,Co-Clustering,0.1,2,1.066229596362835,1.136845552160054,0.8656688981593751
synthetic,Not-Applicable,SlopeOne,0.1,2,1.1909076006523565,1.4182609132915525,0.9611798859178079
synthetic,Louvain,NormalPredictor,0.1,2,1.6473720361409705,2.7138346254592474,1.3342848824475222
synthetic,Louvain,SVD,0.1,2,1.0419996162505818,1.0857632002663598,0.8499318270349789
synthetic,Louvain,k-NN,0.1,2,1.0030380709292264,1.0060853717334237,0.820203690291426
synthetic,Louvain,NMF,0.1,2,1.0633807685245205,1.1307786588677997,0.8784210504025811
synthetic,Louvain,Co-Clustering,0.1,2,0.9930733127036214,0.9861946044041446,0.81208359059676
synthetic,Louvain,SlopeOne,0.1,2,1.030789532465701,1.0625270602408587,0.8376777203257898
synthetic,Paris,NormalPredictor,0.1,2,1.5774733130845435,2.4884220534939265,1.2477596832454896
synthetic,Paris,SVD,0.1,2,1.0933073834790248,1.1953210347697516,0.8820369622891319
synthetic,Paris,k-NN,0.1,2,1.0693849560643545,1.1435841842567611,0.8567363211213359
synthetic,Paris,NMF,0.1,2,1.0659255389332898,1.1361972545502244,0.8701149213704411
synthetic,Paris,Co-Clustering,0.1,2,1.0111499297983018,1.0224241805311107,0.8222179166007227
synthetic,Paris,SlopeOne,0.1,2,1.10941044677588,1.2307915394154578,0.8838372054247013
synthetic,Not-Applicable,NormalPredictor,0.1,3,1.606411684164397,2.580558499019894,1.2871577686829025
synthetic,Not-Applicable,SVD,0.1,3,1.107472682658345,1.2264957428344712,0.9110948799292727
synthetic,Not-Applicable,k-NN,0.1,3,1.0852523909414729,1.1777727520441836,0.8846787561316947
synthetic,Not-Applicable,NMF,0.1,3,1.0340889625970964,1.069339982565139,0.8622979390598667
synthetic,Not-Applicable,Co-Clustering,0.1,3,1.061614988084006,1.127026382924604,0.8617953135466456
synthetic,Not-Applicable,SlopeOne,0.1,3,1.1569364979848082,1.3385020603693523,0.9464660805349429
synthetic,Louvain,NormalPredictor,0.1,3,1.5436189790776005,2.3827595525685736,1.2406112678039551
synthetic,Louvain,SVD,0.1,3,1.0380899878828147,1.0776308229425422,0.8568263518801504
synthetic,Louvain,k-NN,0.1,3,0.987452792488701,0.9750630173937336,0.8223868983858345
synthetic,Louvain,NMF,0.1,3,1.0119299217383182,1.0240021665093189,0.8344013055046552
synthetic,Louvain,Co-Clustering,0.1,3,1.0310915973448227,1.063149882115098,0.8511051515381729
synthetic,Louvain,SlopeOne,0.1,3,0.9916380482771555,0.9833460187909263,0.821310101188669
synthetic,Paris,NormalPredictor,0.1,3,1.5754315155228955,2.4819844601027676,1.2836311932868023
synthetic,Paris,SVD,0.1,3,1.0591881957023315,1.1218796339151602,0.880998562968565
synthetic,Paris,k-NN,0.1,3,1.0297652190800535,1.0604164064269908,0.84382519944706
synthetic,Paris,NMF,0.1,3,1.0610846670563978,1.1259006706621866,0.8655587767944746
synthetic,Paris,Co-Clustering,0.1,3,1.0717703326040906,1.148691645850283,0.8773710946692006
synthetic,Paris,SlopeOne,0.1,3,1.0457168255330629,1.0935236792029464,0.854994265251536
synthetic,Not-Applicable,NormalPredictor,0.1,4,1.6234250103090624,2.6355087640969797,1.3121253407850004
synthetic,Not-Applicable,SVD,0.1,4,1.1416574958827437,1.303381837905257,0.936237794673005
synthetic,Not-Applicable,k-NN,0.1,4,1.1283855416197888,1.273253930536584,0.9233954621958005
synthetic,Not-Applicable,NMF,0.1,4,1.0379354054673247,1.0773099059226194,0.8499550906169449
synthetic,Not-Applicable,Co-Clustering,0.1,4,1.0900369201781268,1.1881804873514161,0.893414462306218
synthetic,Not-Applicable,SlopeOne,0.1,4,1.1977726721110329,1.434659374056004,0.9770024745990723
synthetic,Louvain,NormalPredictor,0.1,4,1.6394855456739368,2.6879128544737663,1.3084423645455325
synthetic,Louvain,SVD,0.1,4,1.047937444252002,1.0981728870654177,0.8623336571399497
synthetic,Louvain,k-NN,0.1,4,0.9776781626265129,0.9558545896767541,0.794377615453082
synthetic,Louvain,NMF,0.1,4,1.0312313882306672,1.0634381760721492,0.8454528430864661
synthetic,Louvain,Co-Clustering,0.1,4,0.9866693245867689,0.9735163560805108,0.8098130449887517
synthetic,Louvain,SlopeOne,0.1,4,1.0045829933838424,1.0091869905960411,0.8134005172061298
synthetic,Paris,NormalPredictor,0.1,4,1.6393406523621619,2.6874377744871984,1.313282482890469
synthetic,Paris,SVD,0.1,4,1.0429861115072878,1.0878200287970925,0.8564885075433009
synthetic,Paris,k-NN,0.1,4,0.9782186354916804,0.9569116988232051,0.7980013347895077
synthetic,Paris,NMF,0.1,4,1.0222470759897027,1.044989084369497,0.8383902035450577
synthetic,Paris,Co-Clustering,0.1,4,0.9900257899934337,0.9801510648521226,0.8166817088435665
synthetic,Paris,SlopeOne,0.1,4,0.9985943208243516,0.997190617582648,0.8087526300490105
synthetic,Not-Applicable,NormalPredictor,0.1,5,1.5674622349988,2.456937858147434,1.2569490295462646
synthetic,Not-Applicable,SVD,0.1,5,1.1315977702584226,1.2805135136538337,0.9262985226295457
synthetic,Not-Applicable,k-NN,0.1,5,1.1435694791416386,1.3077511536242785,0.9427619603397885
synthetic,Not-Applicable,NMF,0.1,5,1.0311185601298638,1.0632054850442836,0.8573898690046567
synthetic,Not-Applicable,Co-Clustering,0.1,5,1.100798169694709,1.2117566104032214,0.8969666994668541
synthetic,Not-Applicable,SlopeOne,0.1,5,1.1856948739762232,1.4058723341734918,0.9674482045655489
synthetic,Louvain,NormalPredictor,0.1,5,1.6229956089897297,2.634114746799944,1.3038206641927323
synthetic,Louvain,SVD,0.1,5,0.9982394179394449,0.9964819355280818,0.8182465990794525
synthetic,Louvain,k-NN,0.1,5,0.9779326472833425,0.9563522626226063,0.8009158807008441
synthetic,Louvain,NMF,0.1,5,1.006270910898921,1.012581146121344,0.8234312121606183
synthetic,Louvain,Co-Clustering,0.1,5,0.982007682975627,0.9643390894231596,0.7970850685243357
synthetic,Louvain,SlopeOne,0.1,5,0.9820531550771622,0.9644283993970088,0.7955421211517956
synthetic,Paris,NormalPredictor,0.1,5,1.6435256927932242,2.7011767028714475,1.3441550226995227
synthetic,Paris,SVD,0.1,5,1.1028283629774556,1.2162303981875346,0.9100125403839553
synthetic,Paris,k-NN,0.1,5,1.1509414622205194,1.3246662494583075,0.9329219067644519
synthetic,Paris,NMF,0.1,5,1.0842681562401446,1.1756374346364027,0.8761105285285902
synthetic,Paris,Co-Clustering,0.1,5,1.1263830322933175,1.2687387354382886,0.8961821390420238
synthetic,Paris,SlopeOne,0.1,5,1.1590720021120595,1.3434479060800582,0.9422840121931572
synthetic,Not-Applicable,NormalPredictor,0.01,1,1.9010818982685223,3.614112383924248,1.5831452845413245
synthetic,Not-Applicable,SVD,0.01,1,1.4844607943716916,2.203623850026634,1.2367652363583015
synthetic,Not-Applicable,k-NN,0.01,1,1.3761840061208024,1.8938824187027006,1.163035233256615
synthetic,Not-Applicable,NMF,0.01,1,1.1380535443797442,1.2951658698752984,0.9454521350343758
synthetic,Not-Applicable,Co-Clustering,0.01,1,1.3863597554458125,1.921993371519773,1.1411307244293196
synthetic,Not-Applicable,SlopeOne,0.01,1,1.5546712429455785,2.41700267364195,1.303997843397066
synthetic,Louvain,NormalPredictor,0.01,1,1.8855290236712572,3.5552196991066842,1.5256408463715265
synthetic,Louvain,SVD,0.01,1,1.3017498099871796,1.694552567801658,1.1008053506743536
synthetic,Louvain,k-NN,0.01,1,1.0818300815432695,1.1703563253319171,0.8859618094911929
synthetic,Louvain,NMF,0.01,1,1.0985037087761031,1.2067103981948535,0.9023216560921189
synthetic,Louvain,Co-Clustering,0.01,1,1.0514228189118784,1.1054899441286006,0.8893141980360841
synthetic,Louvain,SlopeOne,0.01,1,1.1000034607930622,1.2100076137567137,0.9083169873461318
synthetic,Paris,NormalPredictor,0.01,1,2.0408114194727087,4.1649112498502125,1.7317897537513514
synthetic,Paris,SVD,0.01,1,1.2910681834413524,1.6668570542945538,1.0619772746374443
synthetic,Paris,k-NN,0.01,1,1.1473421227539873,1.3163939466456254,0.9078635284036842
synthetic,Paris,NMF,0.01,1,1.1173544368481272,1.2484809375441954,0.9201351096297641
synthetic,Paris,Co-Clustering,0.01,1,1.2385856037639449,1.534094297851296,0.9850451214647901
synthetic,Paris,SlopeOne,0.01,1,1.1915555705050362,1.4198046776015822,0.9522527934573745
synthetic,Not-Applicable,NormalPredictor,0.01,2,1.7140422094295091,2.9379406957059935,1.3790290081984276
synthetic,Not-Applicable,SVD,0.01,2,0.8961692747142239,0.8031193689418182,0.7041981728666699
synthetic,Not-Applicable,k-NN,0.01,2,1.0026152810812958,1.0052374018577257,0.7959105097265619
synthetic,Not-Applicable,NMF,0.01,2,0.9266616729801364,0.8587018561703451,0.7529724916481483
synthetic,Not-Applicable,Co-Clustering,0.01,2,0.9448715879468439,0.8927823177091904,0.749365074899821
synthetic,Not-Applicable,SlopeOne,0.01,2,0.9938430471205636,0.9877240023098869,0.8022344968657628
synthetic,Louvain,NormalPredictor,0.01,2,1.6757147953574687,2.808020075379923,1.4179421112612787
synthetic,Louvain,SVD,0.01,2,0.9865343345512765,0.97324999324853,0.8063561064316774
synthetic,Louvain,k-NN,0.01,2,1.0285686486341254,1.057953464953031,0.8233909991986099
synthetic,Louvain,NMF,0.01,2,0.9749489310768514,0.9505254182078952,0.8308015440424197
synthetic,Louvain,Co-Clustering,0.01,2,0.9744481060237443,0.9495491113332625,0.8401933238392254
synthetic,Louvain,SlopeOne,0.01,2,1.0407174783883366,1.0830928698229778,0.8411058930021796
synthetic,Paris,NormalPredictor,0.01,2,1.5318213003105403,2.346476496085075,1.2943095878653164
synthetic,Paris,SVD,0.01,2,0.9621094098739024,0.9256545165679086,0.7772301184138364
synthetic,Paris,k-NN,0.01,2,1.065411893337676,1.1351025024653714,0.8424704886813722
synthetic,Paris,NMF,0.01,2,1.147986869170684,1.317873851788309,0.9352863365678701
synthetic,Paris,Co-Clustering,0.01,2,0.9698373338988668,0.9405844542240622,0.7983020915300724
synthetic,Paris,SlopeOne,0.01,2,1.0411640605714498,1.0840226010256298,0.8367210785121655
synthetic,Not-Applicable,NormalPredictor,0.01,3,1.7717104062980988,3.1389577637849744,1.4850869957589452
synthetic,Not-Applicable,SVD,0.01,3,1.1617854019835905,1.3497453202621728,1.010713648170279
synthetic,Not-Applicable,k-NN,0.01,3,1.201516485285329,1.4436418644124103,1.0347320845987331
synthetic,Not-Applicable,NMF,0.01,3,1.0705076523626644,1.1459866337670233,0.9300724895970935
synthetic,Not-Applicable,Co-Clustering,0.01,3,1.0691711918863336,1.1431270375596432,0.9225787309317139
synthetic,Not-Applicable,SlopeOne,0.01,3,1.3245367255650067,1.75439753737047,1.1054927645282389
synthetic,Louvain,NormalPredictor,0.01,3,1.6941341859201626,2.8700906399033723,1.37504364551629
synthetic,Louvain,SVD,0.01,3,1.0520393644451618,1.10678682434218,0.9106968514797072
synthetic,Louvain,k-NN,0.01,3,0.9246380483403326,0.8549555204386192,0.7827700641163355
synthetic,Louvain,NMF,0.01,3,0.8542419305435406,0.7297292758987552,0.6895579334523946
synthetic,Louvain,Co-Clustering,0.01,3,0.9650673387251468,0.9313549682740373,0.8029566517503944
synthetic,Louvain,SlopeOne,0.01,3,0.9995098869529337,0.9990200141166664,0.837095027220483
synthetic,Paris,NormalPredictor,0.01,3,1.6107942586410275,2.5946581436708978,1.3152404855808322
synthetic,Paris,SVD,0.01,3,1.1201683671795761,1.2547771708297575,0.9577638467253861
synthetic,Paris,k-NN,0.01,3,1.068469011258232,1.141626028019144,0.8764520765300343
synthetic,Paris,NMF,0.01,3,1.0193147705245549,1.0390026014095262,0.8395864681900878
synthetic,Paris,Co-Clustering,0.01,3,0.9985183429578715,0.9970388812233333,0.8532257140870566
synthetic,Paris,SlopeOne,0.01,3,1.1487414954910349,1.3196070234629793,0.9382030252344419
synthetic,Not-Applicable,NormalPredictor,0.01,4,1.6212770052233232,2.6285391276659076,1.3503518686930747
synthetic,Not-Applicable,SVD,0.01,4,1.124608731027652,1.264744797903626,0.9552007101002733
synthetic,Not-Applicable,k-NN,0.01,4,1.161122537648795,1.3482055474359775,1.0061675661414613
synthetic,Not-Applicable,NMF,0.01,4,1.1160205265923855,1.2455018157755455,0.945991876141885
synthetic,Not-Applicable,Co-Clustering,0.01,4,1.0265272764574545,1.0537582493111592,0.8416519572818002
synthetic,Not-Applicable,SlopeOne,0.01,4,1.2583039119443036,1.583328734814338,1.067170806899239
synthetic,Louvain,NormalPredictor,0.01,4,1.7396450221466233,3.026364803079525,1.4065210849176708
synthetic,Louvain,SVD,0.01,4,1.090917979939645,1.1901020389555954,0.91869538829619
synthetic,Louvain,k-NN,0.01,4,1.1264655945157265,1.268924735627669,0.942554538633758
synthetic,Louvain,NMF,0.01,4,1.0841423148274651,1.1753645587994548,0.8903395432560742
synthetic,Louvain,Co-Clustering,0.01,4,1.091532523859773,1.1914432506436858,0.9085551494484242
synthetic,Louvain,SlopeOne,0.01,4,1.14539228036235,1.3119234759136642,0.9608027831469957
synthetic,Paris,NormalPredictor,0.01,4,1.6443006191438563,2.703724526116869,1.3868065642572809
synthetic,Paris,SVD,0.01,4,1.124496980389099,1.2644934589042018,0.9421695384592842
synthetic,Paris,k-NN,0.01,4,1.1957971442749784,1.4299308102561934,0.9757258186928395
synthetic,Paris,NMF,0.01,4,1.2002151172221582,1.4405163276085993,0.9711773679615946
synthetic,Paris,Co-Clustering,0.01,4,1.1272398286770797,1.270669631355932,0.9003456948125715
synthetic,Paris,SlopeOne,0.01,4,1.162001204340596,1.350246798888996,0.9705295383354641
synthetic,Not-Applicable,NormalPredictor,0.01,5,1.3491116430128465,1.8201022253128223,1.0929389467211574
synthetic,Not-Applicable,SVD,0.01,5,0.9913957676657763,0.9828655681456139,0.7690604251029346
synthetic,Not-Applicable,k-NN,0.01,5,1.0296819135772661,1.0602448431481404,0.8121203040857226
synthetic,Not-Applicable,NMF,0.01,5,0.9700470575053267,0.9409912937747427,0.7846037546935314
synthetic,Not-Applicable,Co-Clustering,0.01,5,0.9209895760568773,0.8482217992054265,0.7607318316147773
synthetic,Not-Applicable,SlopeOne,0.01,5,1.0346155466643825,1.0704293293996392,0.8167789455578406
synthetic,Louvain,NormalPredictor,0.01,5,1.5059669371176243,2.267936415691439,1.2008110041948825
synthetic,Louvain,SVD,0.01,5,0.8744243799510646,0.7646179962528038,0.7077962332221898
synthetic,Louvain,k-NN,0.01,5,0.9086181383208273,0.825586921285606,0.7634864779421507
synthetic,Louvain,NMF,0.01,5,0.8528814695019761,0.7274068010198501,0.7137260581192155
synthetic,Louvain,Co-Clustering,0.01,5,0.8993201128805246,0.8087766654314396,0.7629864270776037
synthetic,Louvain,SlopeOne,0.01,5,0.955352570304539,0.9126985335874892,0.7941812180169027
synthetic,Paris,NormalPredictor,0.01,5,1.4805434136939772,2.1920087998326157,1.2471421044163007
synthetic,Paris,SVD,0.01,5,0.8719386137853634,0.7602769462099411,0.7291369167271737
synthetic,Paris,k-NN,0.01,5,0.9241199798962543,0.8539977372434534,0.8033463009732488
synthetic,Paris,NMF,0.01,5,0.8964941226019939,0.8037017118599189,0.7494346002322465
synthetic,Paris,Co-Clustering,0.01,5,0.921291249345879,0.8487775661212907,0.7390590915111579
synthetic,Paris,SlopeOne,0.01,5,0.9509455058619636,0.9042973551190658,0.8058300252554332
real,Not-Applicable,NormalPredictor,0.25,1,1.527003888533206,2.331740875595532,1.2278640244281918
real,Not-Applicable,SVD,0.25,1,0.9349864418669825,0.8741996464750804,0.7343877697707039
real,Not-Applicable,k-NN,0.25,1,0.9826992484609494,0.9656978129257148,0.7750633797357757
real,Not-Applicable,NMF,0.25,1,0.9689596581274038,0.9388828190783752,0.7607646451911173
real,Not-Applicable,Co-Clustering,0.25,1,0.9724225674981984,0.9456056497797882,0.7606731017002476
real,Not-Applicable,SlopeOne,0.25,1,0.9454588560902091,0.8938924485594067,0.7414153695068865
real,Louvain,NormalPredictor,0.25,1,1.5003960060513448,2.2511881749748275,1.2016076686061137
real,Louvain,SVD,0.25,1,0.961401130995713,0.9242921346798361,0.7582125087133118
real,Louvain,k-NN,0.25,1,1.013061253227891,1.026293102791665,0.7942159787222197
real,Louvain,NMF,0.25,1,1.0220204319128472,1.0445257632473228,0.8015866051200268
real,Louvain,Co-Clustering,0.25,1,1.009025308526251,1.018132073246496,0.7839907168561834
real,Louvain,SlopeOne,0.25,1,0.9766343068108211,0.953814569239853,0.764702050500364
real,Paris,NormalPredictor,0.25,1,1.5001000139937146,2.250300051983943,1.2029953746010396
